GB_ACC,GSM29537,GSM29638,GSM29643,GSM29644,GSM29645,GSM29646,GSM29647,GSM29648,GSM29649,GSM29650,GSM29651,GSM29652,GSM29653,ID
NM_006445,1766.3,2776.0,2685.0,2636.1,2291.7,1203.4,1553.1,969.5,1234.7,1419.9,2299.2,922.0,1608.1,200000_s_at
NM_001749,12617.2,10204.5,8674.5,9308.0,9096.1,5326.1,6787.8,5953.7,6260.2,5771.2,8053.7,5158.6,4895.9,200001_at
NM_007209,14999.4,19289.3,15698.5,15923.2,21086.9,12777.1,12945.5,13443.0,10435.5,12202.2,16572.2,11260.1,11946.9,200002_at
NM_000991,21188.3,22280.8,21876.1,24278.6,27971.5,20778.2,19074.7,18613.0,18431.2,21732.7,30155.5,22067.7,21091.7,200003_s_at
NM_001418,5614.3,8585.1,6424.0,7300.6,6570.2,6469.9,5711.8,5408.9,8110.2,6157.3,8205.1,5972.6,7114.3,200004_at
NM_003753,5858.8,6418.0,6199.6,6823.5,6553.2,3466.8,3829.5,3097.9,3705.1,4064.0,5006.5,3368.6,3728.3,200005_at
NM_007262,8685.0,9030.2,7907.2,7790.5,11778.6,7409.4,8626.0,8440.4,7638.2,5708.3,7380.2,4692.4,6212.6,200006_at
NM_003134,6955.8,7553.4,5619.1,5704.9,8333.4,6658.2,6397.4,6835.5,6695.7,7881.9,7185.1,6253.8,6041.1,200007_at
D13988,765.2,2821.0,2223.0,3765.9,1583.7,1469.0,1808.2,1505.3,2019.2,2378.6,3198.6,2031.0,2556.7,200008_s_at
NM_001494,3526.6,5467.2,4785.2,6585.8,4471.5,4418.5,4594.3,4325.0,3987.4,3511.3,4110.3,2751.8,3425.2,200009_at
NM_000975,11969.9,12995.2,10168.0,8861.1,18881.9,13590.2,10556.5,11446.8,12337.3,12169.5,12953.4,10941.8,13055.3,200010_at
NM_001659,3167.5,3584.7,2906.9,2405.3,2587.4,1412.1,1710.0,1610.5,1489.3,2406.9,2507.2,2038.5,2240.1,200011_s_at
NM_000982,14712.5,15346.2,13347.3,15420.5,19272.4,15048.9,14375.1,12604.7,13140.4,14626.3,16988.5,12685.3,13475.9,200012_x_at
NM_000986,16472.7,17798.0,15058.8,16680.7,21577.0,15917.5,14660.1,14579.8,13122.4,17252.3,20040.3,10689.1,13869.6,200013_at
NM_004500,1656.4,1852.2,1283.9,1694.6,2013.2,1246.9,1492.5,1810.8,1598.0,1541.1,1865.3,1445.1,1645.9,200014_s_at
NM_004404,3954.3,3703.7,3017.3,2787.2,2697.1,3240.9,3478.0,3773.8,5730.0,4976.6,4204.9,4723.3,5011.6,200015_s_at
NM_002136,6959.3,9303.2,7179.3,7471.3,10817.4,8632.6,9007.2,6112.3,8946.8,7060.7,10064.7,7622.2,7401.3,200016_x_at
NM_002954,11740.8,11453.8,9498.7,11786.8,20579.5,16799.1,13049.2,14152.8,16854.4,18676.7,19489.7,15990.6,17454.3,200017_at
NM_001017,18022.5,17772.9,19631.7,19576.3,23045.8,17192.7,17407.4,13151.6,14103.9,21495.2,23064.0,18063.2,19117.6,200018_at
NM_001997,14620.0,13979.7,11273.8,11940.6,22558.0,13396.9,11834.5,12841.3,9810.1,11424.7,15164.5,10182.5,11104.4,200019_s_at
NM_007375,1278.0,1860.3,1234.7,1335.8,1080.4,1466.8,1365.9,1155.3,1390.8,934.9,830.4,795.7,836.8,200020_at
NM_005507,17046.3,24213.7,20020.5,20958.4,27031.9,15971.9,21553.7,23091.7,17150.1,17810.1,23346.3,13019.1,15055.3,200021_at
NM_000979,19828.4,22789.5,20187.1,16951.3,28169.5,14396.9,15846.2,12042.9,13721.1,21374.8,21343.8,16630.3,19877.6,200022_at
NM_003754,16315.3,9839.0,12242.3,14577.8,13073.4,7900.6,8933.8,4260.0,7051.5,13671.3,20061.1,10212.3,14029.1,200023_s_at
NM_001009,14775.3,21334.3,19041.8,18845.1,22710.2,16056.6,11751.6,9591.4,12546.6,17113.3,21651.4,14087.3,16208.1,200024_at
NM_000988,21365.1,25550.3,21891.5,16184.5,28356.2,20635.0,18498.5,15676.6,15680.4,23031.5,28170.2,20105.2,19791.6,200025_s_at
NM_000995,16182.4,20489.7,14641.9,16301.8,23762.5,15269.0,15874.8,15838.6,16064.9,15702.3,16717.6,12684.6,13158.5,200026_at
NM_004539,2570.8,3451.5,3444.4,3348.8,1931.2,2563.3,1979.6,3529.6,3912.1,1791.8,2144.4,1378.2,2534.5,200027_at
NM_020151,2396.2,1801.5,2344.3,2160.1,2687.4,2145.8,3176.4,2140.8,1892.7,1701.3,2047.8,2054.2,2168.7,200028_s_at
NM_000981,22169.8,24324.5,23147.4,21516.5,28244.5,20633.6,20725.9,20026.3,14976.0,18250.9,22539.8,14372.8,17913.8,200029_at
NM_002635,19644.1,17261.3,17470.2,20017.0,16844.4,12397.9,11510.0,9069.4,10658.6,13158.6,17976.7,13054.7,12943.0,200030_s_at
NM_001015,23395.1,28825.5,25661.2,24500.2,34048.9,26547.0,26290.7,24050.6,19321.8,33421.3,32259.5,21957.2,22594.3,200031_s_at
NM_000661,21152.8,27317.3,22730.3,23884.2,28625.2,23890.9,21068.7,20092.2,21067.3,29077.5,32573.2,23903.0,23399.7,200032_s_at
NM_004396,4726.3,4083.4,3385.4,3613.2,4689.9,3360.2,4861.7,5087.6,5011.4,3739.7,3740.0,3836.7,3813.8,200033_at
NM_000970,8692.1,11686.9,8781.2,9102.4,11178.6,9760.2,9105.4,8425.6,12189.5,11004.2,12671.0,11181.3,12202.0,200034_s_at
NM_015343,2038.3,1385.0,1461.8,1860.3,1429.7,982.9,863.2,770.0,751.8,687.4,852.4,766.1,583.5,200035_at
NM_007104,12957.2,13096.8,12569.0,11075.5,18035.8,12304.6,10779.5,7154.0,8797.9,7848.2,10883.8,6209.3,8918.0,200036_s_at
