Description,GSM1059640,GSM1059641,GSM1059642,GSM1059643,GSM1059644,GSM1059645,GSM1059646,GSM1059647,GSM1059648,GSM1059649,GSM1059650,GSM1059651,GSM1059652,GSM1059653,GSM1059654,ID
hypothetical LOC100009676,1.571666506,1.599419163,1.766315061,1.648733406,1.778823115,1.444447869,1.389104257,1.599656337,1.491489506,1.579773216,1.794039899,1.54383433,1.535434878,1.700026584,1.690684867,100009676_at
mediator complex subunit 6,4.857468772,4.587549424,5.189941405,4.676122046,4.83392413,4.301166874,5.799086239,4.850072042,5.58644524,4.190247405,4.59915065,5.558258527,4.470321557,5.047153432,4.976012159,10001_at
"nuclear receptor subfamily 2, group E, member 3",1.710576702,1.81930777,1.908843993,1.775028921,1.89132465,1.938708272,1.931064659,1.933823865,1.828817189,1.828817189,1.758529648,2.217959063,1.749672399,1.706798595,1.821415436,10002_at
N-acetylated alpha-linked acidic dipeptidase 2,4.586990095,4.499544533,5.492046587,4.989800198,5.386867561,4.899911613,3.634286747,6.134164183,3.51673897,5.672112272,4.95505907,4.538335251,6.720536425,4.890428815,4.499989132,10003_at
CDKN2B antisense RNA 1 (non-protein coding),2.353252599,2.223651643,2.402424449,2.548895278,2.120933272,2.288817448,2.351775969,1.967625847,2.700280528,2.07859699,2.350956901,2.329518939,2.487450258,2.287791636,2.601532721,100048912_at
sialic acid binding Ig-like lectin 14,2.442565875,2.745205539,2.325495912,2.372391225,2.531663148,2.194685229,2.831734259,2.3160237,2.591515523,2.343294761,2.471840581,2.105129899,2.17331193,2.602129577,2.390008855,100049587_at
hypothetical LOC100049716,7.192220126,7.977069686,7.587963599,7.581887064,7.55941599,7.479333914,7.528251746,8.487773655,6.870605807,7.479234978,7.696464296,7.630424916,7.966753593,7.179464378,7.737394783,100049716_at
N-acetylated alpha-linked acidic dipeptidase-like 1,2.830430471,2.95010591,3.006402067,2.791818779,2.676935706,2.742203516,3.248500746,2.695710312,3.426865802,3.046262317,3.008474142,3.19534671,3.12192227,2.519578025,2.856514311,10004_at
acyl-CoA thioesterase 8,4.035503402,4.050782439,3.463542456,4.041889569,3.683823072,4.05333215,4.67387162,3.88069104,4.267238918,3.984571965,4.257705703,4.982689732,4.127023418,4.310854771,4.05333215,10005_at
abl-interactor 1,9.248604168,9.274010491,9.205184095,9.055669994,8.908151475,9.013338907,9.594960948,8.857044992,8.71568153,7.995570168,9.03943597,8.85710333,8.186638242,9.284340417,9.024849691,10006_at
glucosamine-6-phosphate deaminase 1,6.929404435,5.848506295,6.025414892,6.326326153,5.535609222,5.799218336,6.312160531,6.539297387,6.481295202,6.139528865,6.623136349,6.96545438,5.958456429,6.560825011,6.149461447,10007_at
"potassium voltage-gated channel, Isk-related family, member 3",7.916541047,9.138155507,8.085882362,9.485599724,9.266874093,7.700492922,9.564924411,8.225602227,7.984513505,8.557522036,7.941007463,9.402694653,8.28298392,9.17810001,9.085523812,10008_at
zinc finger and BTB domain containing 33,8.360347982,8.284816448,8.449795806,8.073963302,8.166366831,8.388101938,8.055451464,8.367540163,7.592079793,8.36823578,8.085977589,7.932820202,8.305735458,8.166366831,8.013129223,10009_at
"cadherin 2, type 1, N-cadherin (neuronal)",2.300137105,1.853565637,2.301928073,2.449067256,1.806913753,1.989396364,2.383166158,2.301928073,2.381605872,2.564613033,2.301928073,2.886043786,2.956206522,2.041959229,1.984227018,1000_at
zinc finger and SCAN domain containing 30,4.605880885,4.7358165,4.698873239,4.825491967,4.458695897,5.007594241,4.211275066,4.746879009,3.828287525,4.010004675,4.789492568,3.791545749,4.026963049,4.812607768,4.668616121,100101467_at
TRAF family member-associated NFKB activator,9.210721412,9.601064099,9.281881662,8.992354821,9.040998474,9.281203984,9.397223034,9.435695286,9.481020047,9.055101675,9.326283846,9.254140291,8.820083818,9.50862681,9.444544673,10010_at
steroid receptor RNA activator 1,7.530788815,7.642549818,7.768800194,6.958505217,7.45240754,7.321292444,7.957090107,7.579845669,7.957626041,8.198415051,7.623838038,8.296520595,7.733750307,7.613933384,7.642549818,10011_at
KIAA1024-like,1.608832718,1.339489819,1.383451281,1.398225318,1.746772083,1.285037465,1.818455197,1.517889599,1.873172863,1.864603518,1.413745851,1.521560402,1.873973877,1.882978345,1.72759105,100127206_at
hypothetical LOC100127888,1.977819034,2.06205068,2.145557845,2.017828872,1.941462178,1.797492804,1.943307303,1.881290331,2.468049331,1.583522234,2.14166279,2.068034172,1.712076643,1.938521583,2.329373273,100127888_at
chromosome 10 open reading frame 131,1.795121599,1.664750492,2.011298131,1.982814868,2.391725572,2.274886019,2.096589139,1.738122518,2.568539443,1.899569794,1.580728033,1.84169873,2.901535403,1.516672114,2.017909097,100127889_at
hypothetical LOC100127950,1.85123202,1.63689147,1.799009275,1.704023984,1.97723566,1.85123202,1.92955503,1.731153197,2.07153027,1.951746796,1.85123202,2.001102961,1.95605798,1.971686222,1.787243496,100127950_at
hypothetical LOC100128252,7.180019914,7.136053531,7.141989392,6.935957277,7.009114257,7.084385031,6.520747503,6.551306553,8.223541517,7.327332413,6.117167779,8.186846674,7.393968901,7.624430536,7.089131713,100128252_at
DNM1 pseudogene 35,1.516042466,1.572597975,2.001642934,1.624204279,1.935593066,1.480015982,1.70260529,1.940193493,2.08228773,1.566796574,1.533415768,1.673144588,2.001503355,1.63035329,1.402367895,100128285_at
hypothetical LOC100128288,2.657783022,2.654591471,2.574374125,3.243468701,3.095211284,3.123613682,2.907609803,3.034250981,2.557867397,2.370582524,2.856244571,2.646159387,2.775621892,2.870691579,2.945688554,100128288_at
hypothetical LOC100128310,2.383796466,2.148283396,1.712532351,1.758977378,2.256058392,2.121528345,2.543680771,2.025881866,2.560802393,1.960493894,2.233394293,2.339995618,1.692746704,2.17780951,2.197627674,100128310_at
BET3 like (S. cerevisiae),1.805578485,1.505225506,1.66316556,1.854423221,1.592124393,1.79908587,1.674886378,1.931844121,1.88751668,1.79908587,2.088494824,1.954160864,1.742275157,1.539633082,1.97079173,100128327_at
hypothetical LOC100128364,2.328366824,2.527554663,2.360703261,2.373593834,2.59491762,2.402721935,2.229165982,2.223847792,2.55645387,2.38058057,2.57711591,2.535198065,2.835458105,2.508475934,2.560442731,100128364_at
hypothetical LOC100128374,2.159349771,2.294851805,2.080275829,1.965612599,2.005262351,2.175686168,2.175686168,2.296545561,2.261005065,2.17586919,1.994201967,2.219728786,2.253777206,2.142950855,2.197418119,100128374_at
hypothetical LOC100128398,2.928604973,3.21625967,2.357036863,2.820961171,2.329812561,2.686704483,3.288206339,2.357835211,2.169903911,2.733161368,2.439590256,2.504301664,2.363757928,2.425018577,2.818404889,100128398_at
hypothetical protein LOC100128496,1.738054401,1.780700595,1.71187209,2.119954061,1.85452432,1.804684176,2.002843723,1.832717937,2.19359723,2.040886694,1.838313347,2.363050875,1.975100808,1.7820412,1.672603771,100128496_at
chromosome 19 open reading frame 71,1.556848809,1.68567659,1.724361793,1.696989955,1.570597916,1.993973026,1.958330374,1.894973962,1.526561178,1.73780528,1.838842211,1.609136587,1.540736394,1.753594381,1.792556415,100128569_at
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9-like,1.832656326,1.485435109,1.820524876,2.001343793,1.882737999,1.55326074,2.125504883,1.939359783,2.454612541,1.932584984,1.761562284,2.201687579,1.885448616,1.844919958,1.689201333,100128596_at
hypothetical LOC100128653,1.843864286,1.603553845,1.687539572,2.221075174,1.772282166,1.968210658,1.664850232,1.863135036,1.882483388,1.99541186,1.938100771,1.843864286,1.825552054,1.615025766,1.843864286,100128653_at
similar to hCG1645245,2.21630024,1.682994839,1.74006703,1.990190766,1.907523462,1.624707328,2.076158983,1.880201337,2.149606885,2.455078357,1.96815928,2.001047622,2.235556472,1.96815928,1.810164929,100128655_at
chromosome 9 open reading frame 130,2.668861348,2.387110007,1.947050781,2.390718551,2.347566789,2.211244664,2.771686147,2.478404499,2.21037992,2.527267904,2.12917489,2.710190546,2.121871342,2.349079714,2.12774904,100128782_at
hypothetical LOC100128785,2.349775114,2.526640513,2.318958701,2.287192825,2.28364678,2.318958701,2.29593699,2.306673526,2.883195795,2.458656245,2.31361807,2.378966962,2.501948525,2.415523082,2.228843811,100128785_at
LPEQ6126,1.950672432,1.786491151,1.950672432,1.950672432,1.941495378,1.843429867,1.985635789,1.625743693,2.450726468,2.050134073,1.950672432,2.041904317,2.010196594,1.93409285,1.898901683,100128818_at
hypothetical LOC100128840,1.874464703,1.684153796,1.810432657,1.810895547,1.766930281,1.672164509,2.050498242,1.367701279,1.949946971,1.795719931,1.596008627,1.920413841,1.745265096,1.710476025,1.46559366,100128840_at
zinc finger and BTB domain containing 42,1.907008125,1.980481672,1.923228312,1.923228312,1.819155249,2.096844633,1.804017944,1.923228312,1.681047433,2.079579075,1.927907468,1.786164963,1.820891506,1.982909933,1.869484947,100128927_at
hypothetical LOC100128979,1.586376498,1.540790874,1.32403428,1.438296255,1.546972943,1.523158396,1.272507479,1.417848685,1.546053341,1.330040839,1.421966906,1.553227377,1.398343975,1.438296255,1.537538122,100128979_at
chromosome 20 open reading frame 181,1.854176768,2.007942351,2.080163303,2.057856283,1.893729229,2.144443528,2.143497192,1.890436575,2.032900921,2.325705482,2.224752625,2.064762548,1.839914135,1.907519855,2.102049553,100128998_at
hypothetical LOC100129034,2.007541896,1.913291028,1.879666292,2.09109182,2.429411617,2.094525922,1.689456706,1.943233571,2.210680255,2.147657798,1.815012083,1.849946147,1.706766095,1.632655636,1.808961675,100129034_at
chromosome 14 open reading frame 33,1.415406558,1.34086622,1.348787525,1.589107877,1.619611355,1.210646003,1.379361839,1.422648791,1.430758295,1.605711992,1.531753396,1.903966401,1.529791759,1.705715284,1.378912721,100129075_at
similar to hCG2036765,1.263236692,1.42832001,1.42832001,1.42832001,1.242590373,1.607415128,1.326387684,1.465732471,1.620592356,1.86736377,1.299081768,1.336265808,1.450960557,1.42832001,1.485742316,100129094_at
"THAP domain containing, apoptosis associated protein 3 pseudogene",2.321871819,2.258571109,2.242086942,2.13256755,2.007778762,2.028371336,2.302513873,2.223822378,2.401019481,3.085710722,2.291807153,2.812492271,2.413451526,2.228602669,2.258571109,100129138_at
similar to hCG2042189,1.998551003,2.32313584,2.208464329,2.284357769,2.367259785,2.074860213,2.284357769,2.54703518,2.624022014,2.846279369,2.34142816,2.284357769,2.340263936,2.002621678,2.245871852,100129144_at
hypothetical LOC100129196,1.890783194,2.061916935,2.167997242,1.916998336,1.992571332,2.076752611,2.078082947,2.289065607,1.912279681,2.388720055,2.059100761,1.996858693,2.059100761,2.188382345,1.945000202,100129196_at
hypothetical LOC100129250,4.119353943,4.152204697,4.475065768,4.556032919,4.581220922,4.395645196,5.301586883,4.050031727,6.220681487,6.905953232,4.293919378,6.043877183,4.309522924,4.426141986,4.408822285,100129250_at
chromosome 1 open reading frame 68,1.944656751,2.325710081,1.831605147,2.064330289,2.064330289,1.939987007,1.981570511,2.064330289,1.976663075,2.315753126,2.064072653,2.209845165,2.433096707,1.976947991,2.118708543,100129271_at
hypothetical LOC100129345,1.917459031,1.590147251,1.782369014,1.594430143,1.872306352,1.690927831,1.787711226,1.462734965,1.190665153,1.703293688,1.603794116,1.423015311,1.680746936,1.597275707,1.671999742,100129345_at
"neurotrophin receptor associated death domain, pseudogene",2.553322551,2.494917259,2.63405415,2.129240796,2.739850915,2.702022768,2.469864686,2.374218473,2.513998711,2.731499173,2.214654005,2.388682847,3.076584393,2.649013656,2.463497553,100129354_at
hypothetical LOC100129387,4.891300335,4.760981237,4.656046136,4.570627773,4.377221387,4.829226999,4.727950879,5.051903963,5.102723122,4.618734551,4.82856398,4.657878629,4.088979377,4.938616074,4.760981237,100129387_at
hypothetical LOC100129427,1.8545731,1.942011892,2.044535811,2.184005117,1.907625795,1.916751018,1.775770879,1.586647648,2.28006293,2.156061242,1.879165619,2.469653201,2.081288432,2.052410357,1.876180922,100129427_at
hypothetical LOC100129434,1.975781634,2.607242875,2.450739591,2.19876426,2.276153833,2.614097123,1.813701891,2.19876426,2.17556485,2.004801424,2.188082165,1.658501363,2.003272625,2.059335153,2.30938955,100129434_at
hypothetical LOC100129484,1.863032181,1.893561481,1.644726006,1.816215699,2.003134059,1.979768913,1.863032181,1.839686465,2.129095836,1.713306023,1.808698403,2.006044317,1.851523085,1.928378221,1.703783695,100129484_at
"family with sequence similarity 47, member E",3.376726844,2.929123507,3.712775249,3.41992817,3.675381403,3.796857995,2.824114276,4.016490533,2.98581814,4.545977534,3.535539399,4.662327282,4.557511882,3.655833694,4.593959587,100129583_at
hypothetical LOC100129617,2.151609758,2.068302663,2.085350171,2.374078436,2.346533429,2.039481315,1.828531741,2.165744281,2.665596707,2.077788407,2.395010335,1.966093259,1.904281319,2.073482961,2.484878285,100129617_at
hypothetical LOC100129637,1.957612468,2.018003867,2.039733412,1.851912639,1.972483912,2.009932618,2.032708482,2.002989854,2.121414479,2.407094914,1.98104323,2.093014484,2.004732558,1.888127794,1.996625661,100129637_at
transcription factor 24,0.913573778,1.222670206,0.716342258,1.117545266,1.219691383,1.024750945,1.083636931,0.93629642,1.246583271,0.997251085,1.083636931,1.077278584,0.919157343,1.083636931,1.101550121,100129654_at
hypothetical LOC100129726,2.027231182,1.895028371,1.796120176,1.917579047,1.713656775,1.896735892,1.896735892,1.666392866,2.265325923,2.094810494,1.987167996,1.780444716,1.840891618,2.026218434,1.845122949,100129726_at
hypothetical LOC100129827,2.060489993,2.401474539,2.18515264,2.066680213,2.158220182,2.059239784,2.65429337,2.15950477,2.518449484,2.238038985,2.283703133,2.238038985,2.238038985,2.304315763,2.293138942,100129827_at
hypothetical LOC100129858,1.648690044,1.636628563,2.325677653,2.033842388,1.840674167,2.045571077,1.934960089,1.936587167,2.269929977,1.845517239,2.268981289,1.836599034,2.273496699,2.081197407,2.194365341,100129858_at
similar to hCG1750329,1.568127639,1.871112244,1.53304866,1.49770693,1.512625692,1.460293025,1.437992157,1.467153894,1.593288223,1.601805245,1.701811776,1.602862251,1.371290326,1.565835538,1.436195452,100129890_at
hypothetical LOC100129917,1.70986486,1.741242424,1.596879624,1.457464261,1.765873026,1.512593764,1.80038368,1.638650557,1.712108972,1.766774966,1.590203493,1.361381019,1.547522643,1.662340612,1.639662243,100129917_at
hypothetical LOC100129940,1.616714759,1.758808445,1.547312922,1.624056143,2.184992767,1.279625054,1.752589437,1.513097885,1.641529224,1.711992763,1.674439837,1.701073389,1.585338367,1.692723265,1.559445311,100129940_at
ig kappa chain V-I region Walker-like,2.316147111,2.041942025,2.059790493,2.006352168,2.267610968,2.101379378,2.243563404,1.828717085,1.682108872,1.990741059,2.824784111,2.580905982,1.876091909,1.767213516,2.121831761,100130100_at
hypothetical LOC100130148,1.560611554,1.715293597,1.351637958,1.595177167,1.259506877,1.566851384,1.612652129,1.49153265,1.6309779,1.964710199,1.678651376,2.298694394,1.642144423,1.642144423,1.612712093,100130148_at
hypothetical LOC100130219,2.591648135,2.475138776,2.658587546,2.601069373,2.545699872,2.845947187,2.111924593,2.088983934,2.311790153,2.547190359,2.475138776,2.420128836,2.433480623,2.284441942,2.388338893,100130219_at
hypothetical LOC100130249,1.86504502,1.799491391,1.597110117,1.581913488,1.702400412,1.627400052,1.702400412,1.566983715,1.702400412,1.718422103,1.841252946,1.702400412,1.857926682,1.459762231,1.660647875,100130249_at
hypothetical LOC100130264,2.135778616,2.144693955,1.993610721,2.14868718,2.166560994,2.144693955,2.337279947,2.144693955,1.708725946,2.089584691,2.180541857,2.156564973,2.479332886,1.977858805,2.057517222,100130264_at
coiled-coil domain containing 121-like,2.054565805,2.069290673,1.969535775,2.150359589,2.036648727,2.036648727,2.004213551,2.14242899,1.925369822,1.794956688,2.036648727,1.987732355,2.050129051,1.941444312,2.327546863,100130274_at
hypothetical LOC100130275,1.7123751,1.540383561,1.762435022,1.978387966,1.729834104,1.675003426,1.666787602,1.346514028,2.215981449,1.970418688,1.785586149,1.750421884,1.700614646,1.888608378,1.836143094,100130275_at
"family with sequence similarity 48, member B1",1.790615734,1.762935461,1.783504771,1.675379945,1.864239662,1.986027153,1.575039791,2.068449545,1.777015901,1.812285067,1.828318313,2.123196385,2.094153145,1.909714831,1.796616374,100130302_at
similar to rCG48429,1.157092111,1.713564479,1.511923774,1.550651272,1.412850014,1.379120054,1.500397628,1.792256061,1.617425985,1.803609319,1.546655309,1.581935247,1.633319977,1.549005464,1.541633287,100130348_at
hypothetical LOC100130357,1.784088257,1.850028554,1.84082052,1.829373632,2.279920113,2.005846813,1.968537264,2.210580046,2.37129834,2.566227696,2.046057238,1.930307426,1.874825848,1.88178873,1.814605871,100130357_at
hypothetical protein LOC100130370,2.240038308,2.059443767,2.295161392,2.056501324,2.093099168,2.207466292,2.268547555,2.17751548,2.401877833,2.218662891,2.19908218,2.244965862,2.441652837,2.218662891,2.20594144,100130370_at
hypothetical LOC100130507,1.64162934,1.519595988,1.554781113,1.691387772,1.652843124,1.497056534,1.314155625,1.652843124,1.908786896,1.805614391,1.640411074,2.080686191,1.790805154,1.651299895,1.651665431,100130507_at
transmembrane protein 221,3.417027594,2.941623303,3.398259073,3.246937532,3.531433043,3.176637312,3.180361843,3.347543829,4.038707429,3.953632694,3.45344555,3.809331441,4.208541971,3.218121272,3.320243206,100130519_at
hypothetical LOC100130557,2.264510435,2.622490544,2.524561848,2.409358073,2.59228833,2.494889371,2.206751313,2.494889371,2.578384502,2.455234626,2.279431252,2.494889371,2.721364234,2.036440548,2.608115682,100130557_at
hypothetical LOC100130581,1.978766599,2.420856909,2.053518574,2.144106776,1.904824211,1.705518579,2.282883134,1.886710393,2.168086475,2.429792655,2.093809931,2.079906493,2.079906493,2.079906493,1.83042948,100130581_at
chromosome X open reading frame 64,1.513118196,1.92708136,1.804771787,1.900170107,1.773038416,1.695648951,1.618411506,1.956903466,1.798284127,1.870094841,1.709797886,2.205845751,2.03126026,1.627411618,1.724717912,100130613_at
leucine rich repeat containing 70,3.65071021,4.761558331,4.585303415,4.00664997,4.240619189,5.038257893,4.527805065,5.648442986,4.730452969,4.562575137,4.693480827,5.510136115,4.139114272,4.601303722,4.650570666,100130733_at
tubulin beta-3 chain-like,1.847116146,1.880802615,1.869318758,1.995829814,1.737717937,1.974467063,1.798809265,1.866240995,2.325291382,2.191427254,2.220325823,1.923928478,1.839709389,1.897596104,1.897596104,100130736_at
leucine rich repeat containing 69,2.1159776,1.971838476,2.294564885,2.067505079,2.53308799,1.98575718,2.11874777,2.11874777,2.449048579,2.107029198,2.111818989,2.010510993,2.020631788,2.182629723,2.124186233,100130742_at
hypothetical LOC100130815,1.474925502,1.408697994,1.271117474,1.120509975,1.538701153,1.547755311,1.329176003,1.296668803,1.775528168,1.467656525,1.735073335,1.331898798,1.570020868,1.439191344,1.537063378,100130815_at
putative uncharacterized serine/threonine-protein kinase SgK110-like,1.892115368,2.175197529,2.124228383,2.111964323,2.063139462,1.970285629,2.307573553,2.002927545,2.410439143,2.124228383,2.34669574,2.264225525,1.8210671,2.18000019,2.08552918,100130827_at
hypothetical LOC100130856,1.773393608,1.926193116,1.87344882,1.899931881,1.798988226,2.074944514,1.961509679,2.139989796,1.921900032,2.078497074,1.993108601,1.926193116,2.218242545,2.091174412,1.905793189,100130856_at
hypothetical LOC100130894,1.350359336,1.716585116,1.651983993,1.696041116,1.826100052,1.568803151,1.893237627,1.632978116,1.52148746,1.682292491,1.747514543,1.563564762,1.490527001,1.649194877,1.707761828,100130894_at
hypothetical LOC100130950,2.526772198,2.11178686,2.251744328,2.632780065,2.476698935,2.571340051,1.512761756,2.107641315,2.209730072,2.499967711,2.380914738,2.494340025,2.540777423,2.29477848,2.127541882,100130950_at
chromosome 7 open reading frame 72,1.785958337,1.823184087,1.790255928,1.811739766,1.920024916,1.670715237,2.007384672,1.928892826,2.320528733,2.067319698,1.892695195,1.847517839,2.428923413,1.914270655,1.894262068,100130988_at
AHPA9419,1.746554055,2.021621969,1.757433803,1.350523112,2.179450333,1.773270274,1.771487467,1.460821543,1.734304809,1.644449078,1.789648374,2.198883635,1.916005893,1.773270274,1.796544667,100131131_at
binder of sperm protein homolog 1,2.300601205,1.722456967,2.121616255,2.20765316,2.057233678,1.759864498,1.995319742,2.003766553,2.470952867,1.926881635,1.802213382,1.994832746,2.499824525,1.702506428,1.830757205,100131137_at
hypothetical LOC100131138,1.393445719,1.694196552,1.511871009,1.46110171,1.592515192,1.514145547,1.619718287,1.449813874,1.504240697,1.364162814,1.529569858,1.464676758,1.514145547,1.514145547,1.514145547,100131138_at
thiosulfate sulfurtransferase (rhodanese)-like domain containing 1,9.210474025,8.918029979,7.422236779,9.068548643,9.171294699,9.241928827,9.627564274,8.782945415,9.228684127,11.02737076,9.735659795,9.814835312,9.526815599,9.375788118,8.03727166,100131187_at
transmembrane protein 194B,2.663388132,2.649039035,2.370965555,2.424822922,2.334990934,2.397968315,2.367974817,2.62451624,2.335113332,2.413873412,2.520407017,2.756675599,2.475717434,2.475717434,2.630111189,100131211_at
nervous system abundant protein 11,2.132685666,1.946213818,1.975982549,1.873405076,1.711225353,1.946213818,1.946213818,1.744047915,1.896566691,2.246550825,1.890389519,1.72826826,2.083415901,1.874306479,2.093544745,100131275_at
putative golgin subfamily A member 2-like protein 5-like,1.719140591,1.833486278,1.725856735,1.511481201,2.083238162,1.531330575,1.809857324,1.643640297,2.490524062,2.192590381,1.613036462,1.522244838,1.776817479,1.457450145,2.133338209,100131297_at
"diazepam binding inhibitor-like 5, pseudogene",1.816240277,1.911783381,2.086374704,2.038698263,2.142989699,1.462256289,1.761679545,2.419512686,2.779659497,2.169031778,1.915498312,2.078261592,2.285190233,2.061131165,2.061131165,100131454_at
hypothetical LOC100131496,2.196769505,2.061491014,2.172921194,2.271761259,2.422299798,2.196769505,2.37616088,2.206132443,2.196769505,2.599024253,2.055940334,2.147146863,2.287762888,2.017576886,2.150020015,100131496_at
hypothetical LOC100131530,1.718651521,2.036983499,2.016530352,2.24282387,2.036983499,2.002920799,2.424570133,1.961634372,1.899162816,2.026253934,2.036983499,2.046328793,2.162490301,2.036983499,2.036983499,100131530_at
hypothetical LOC100131564,6.510448776,6.110689842,6.866486869,7.577487025,6.590226093,7.390618845,8.023260793,7.962332264,5.705501648,6.325578189,7.046081437,6.068420797,6.805342878,5.295471781,7.678611193,100131564_at
"armadillo repeat containing, X-linked 4",2.10359259,2.52592217,2.072577463,2.032459964,2.446139497,2.544658713,2.573460352,2.385630952,1.984994795,2.17752199,2.446224628,1.877692622,2.359470453,2.425357474,2.413645947,100131755_at
ubiquitin-conjugating enzyme E2D N-terminal like (pseudogene),1.512320217,1.422284375,1.355550469,1.40020885,1.658351544,1.47818987,1.554231135,1.499936757,1.708057868,1.394951542,1.396247668,1.45821944,1.75414612,1.488056578,1.462813273,100131816_at
zinc finger protein 717,1.747039384,1.673767363,2.05938336,1.782851646,1.692079952,1.714972242,1.94447144,1.678112041,1.808338961,1.919108883,1.485058709,1.782851646,1.907012448,1.7753327,1.86265747,100131827_at
Putative ankyrin repeat domain-containing protein ENSP00000383069,1.514087911,2.239821544,1.938668684,1.784340356,2.44188147,1.658388002,2.083503395,2.045430981,1.982751308,3.266489726,1.997134934,2.44490911,1.918102175,1.89730241,2.028984661,100132257_at
KIAA0664-like 3,2.019941267,2.523824756,2.618631215,2.459838669,2.483966798,2.297001162,2.687201518,2.238097806,1.990074311,2.337167947,2.297512694,2.321065767,1.816305286,2.310416517,2.475949375,100132341_at
hypothetical LOC100132354,2.074795151,2.074795151,1.916867264,1.940743174,2.180332428,2.088743924,1.991627764,2.049817969,1.859512467,2.017460133,2.147155507,2.254166048,1.903784887,2.174963869,2.29899358,100132354_at
hypothetical LOC100132356,2.767585693,2.78800991,2.857772241,2.612320359,3.493558116,3.530021904,2.795039023,2.796104946,2.854353476,2.60857577,2.652856602,2.796104946,2.423772328,2.710119085,2.796104946,100132356_at
claudin 24,1.620950128,1.839467306,1.482630506,1.737985385,1.889502943,1.722450551,1.52223687,1.617969455,1.753513635,1.972959829,1.737985385,1.737985385,1.977524244,1.697272376,2.06070501,100132463_at
keratin associated protein 4-7,1.854504624,1.539859676,1.593048326,1.091467281,1.355553721,1.510960775,1.510960775,0.954813661,1.628199621,1.495076638,1.297514259,1.75138533,1.864763355,1.603533288,1.597749464,100132476_at
"DPH3, KTI11 homolog (S. cerevisiae) pseudogene 1",2.916052289,2.99539359,2.863093288,3.38480981,2.5520622,2.660254603,2.915877439,2.653781889,4.571216639,3.321728223,3.090401414,4.272694263,3.431085605,2.91891419,2.99539359,100132911_at
"family with sequence similarity 159, member B",1.633619143,1.362399721,1.385207871,1.359053444,1.589809763,1.38715815,1.195670578,1.489443118,1.684228407,1.355989365,1.398364523,1.370801847,1.253171331,1.417640457,1.245673749,100132916_at
hypothetical LOC100133207,1.905227217,2.061861951,2.041693563,1.763581321,2.027137993,1.904083124,2.281182151,1.690228078,2.280481763,2.833278737,2.204102455,2.024149735,2.249942891,1.932595617,1.711572173,100133207_at
SET binding factor 1 pseudogene 1,2.110498951,2.432517588,2.468721556,2.333743491,2.39334712,2.060224143,2.187213157,2.273111196,2.783975638,2.356537454,2.356366739,2.251507776,2.596685346,2.241126192,2.265345551,100133234_at
"transient receptor potential cation channel, subfamily C, member 2-like",2.754993119,2.156939118,2.299697142,2.264836865,2.059855957,2.218627055,2.073895634,2.128694095,2.196389037,2.508112624,2.137202835,2.21887819,2.131526784,2.195575521,2.488685554,100133315_at
hypothetical LOC100133746,2.226959313,2.44859471,2.497405665,2.223416861,2.535767887,2.26757243,2.075103479,1.901427977,2.338071002,2.256545029,1.969120547,1.986824981,2.347538941,2.133104093,2.320747238,100133746_at
CD24 molecule,5.46822241,3.295911521,3.240630202,3.102744733,3.395972173,2.620895106,6.382319985,2.060194003,4.045047447,4.019003107,3.473131806,2.435462022,4.246184368,3.534704833,2.982171192,100133941_at
hypothetical LOC100134229,4.112427265,4.401172213,4.061851411,3.764554993,4.502925506,4.593611965,4.301881329,4.188108056,4.324530829,5.072518715,4.352286458,4.716617043,4.627787192,4.352286458,4.242883659,100134229_at
histone deacetylase 6,5.633841086,5.667606206,5.735700081,6.286812452,5.765193434,5.92179027,5.459849371,6.126195549,4.861674611,5.770457088,5.770457088,5.342362111,5.813629389,5.692141791,5.875523435,10013_at
chromosome 17 open reading frame 99,1.613310147,1.779515901,1.627416678,1.755386163,1.776665409,1.485655825,1.645806134,1.769540817,1.791679215,1.936574656,1.769540817,1.707880011,1.879666217,1.68569131,1.911108431,100141515_at
non-protein coding RNA 29,1.949553016,1.883935425,2.148186878,1.592277411,1.679724349,1.687173113,1.719085849,1.786766566,2.006152061,2.171052888,2.218475094,1.660076134,1.596439452,1.581074569,2.025189943,100144596_at
histone deacetylase 5,3.240128068,3.37364023,3.55278782,3.994833664,4.603424973,3.905713088,3.936278643,3.836492828,3.333183856,4.084547347,3.584119447,3.74528137,4.86322049,3.578856692,3.897120358,10014_at
programmed cell death 6 interacting protein,8.251181315,8.220338133,8.02362649,8.026625127,7.909414388,8.117165086,8.167358902,8.326148339,7.535003025,7.436903876,8.459838492,7.198679877,7.799938163,7.995301319,8.178381438,10015_at
programmed cell death 6,9.120940214,8.838093579,9.36895515,9.458887807,9.369433328,9.301978247,9.142231187,9.304163022,9.230352167,8.822299873,9.120713651,9.549278009,8.86953346,9.325544105,9.09647861,10016_at
chromosome 17 open reading frame 96,2.903482804,3.101586349,2.903482804,3.0188333,2.835583676,2.903482804,2.873414235,2.851056613,3.195744944,3.231249022,3.065555273,2.961976544,2.805200196,2.903482804,2.552557478,100170841_at
