Description,GSM1059640,GSM1059641,GSM1059642,GSM1059643,GSM1059644,GSM1059645,GSM1059646,GSM1059647,GSM1059648,GSM1059649,GSM1059650,GSM1059651,GSM1059652,GSM1059653,GSM1059654,ID
carbonic anhydrase XI,2.413583248,2.701317186,2.192631591,2.360618675,2.319657214,2.062810675,2.989658267,2.364717373,2.355289689,2.118578633,2.485046337,2.293710773,2.530731852,2.229392914,2.360188795,770_at
zinc finger protein 154,2.305126858,2.096812723,2.130395114,1.818078766,2.091975827,2.026483563,2.037479244,1.920635534,2.08188629,1.42141985,2.082672649,2.274473592,2.113770391,1.981363777,2.160436842,7710_at
zinc finger protein 157,2.180995558,2.200547781,1.827904801,2.443434477,2.204665051,2.142310752,2.064197294,2.256764569,1.970470916,1.754017292,2.180995558,2.229885918,2.194324866,1.775757043,2.195591288,7712_at
vascular endothelial zinc finger 1,6.544372087,6.609512233,6.652011711,6.950304322,6.776717914,6.609512233,6.464495584,6.621097785,5.884377222,6.208205182,6.609512233,6.333234647,6.746098155,6.697223329,6.627410357,7716_at
zinc finger protein 165,2.238040719,1.769391604,1.962278988,1.962278988,1.962278988,1.672573046,1.753426758,2.139886716,2.383110778,2.227190795,2.009342278,1.856476135,1.891341397,1.660346776,1.94815522,7718_at
tripartite motif containing 26,3.759315951,3.403512811,3.386239397,3.538960915,3.170670555,3.500233826,3.470332619,3.386239397,2.774656256,3.084161998,3.277550571,3.301270737,3.436325376,3.769191472,3.552876101,7726_at
zinc finger protein 174,4.76444136,3.694726829,3.940493934,3.899140709,3.785915623,3.985310565,3.070195626,3.895055961,3.800106858,3.327930204,3.733376794,3.524298557,3.765458193,3.469277058,3.952048713,7727_at
zinc finger protein 175,3.354372946,3.448281253,3.360109062,3.905757113,3.275394008,3.875686375,3.630529741,3.518031785,2.963545541,2.676478474,3.515542092,3.63125143,3.177668022,3.183179548,3.78598503,7728_at
zinc finger protein 177,4.636457483,4.824333767,4.542586983,5.152078129,4.92598589,5.030434435,4.49292629,5.26700486,3.420599142,5.183743103,4.388789186,3.422729877,4.568990674,4.537341878,4.70117266,7730_at
ring finger protein 112,2.194246882,1.966504026,2.08581647,2.084197522,2.152387932,2.241260291,1.871477095,2.118068844,2.084197522,1.664811258,2.084197522,1.901734908,2.167798903,2.01134673,2.084197522,7732_at
ring finger protein 113A,5.983886247,5.756227323,6.127127072,6.25194736,5.959270685,5.666010306,6.569433135,5.737603347,6.105586124,5.636978492,5.921372234,6.290712688,5.747746574,5.77031345,5.791859572,7737_at
zinc finger protein 184,4.11974175,4.16471191,4.352520976,3.490359059,3.839036911,3.93210543,4.000071096,3.95810422,3.497891569,3.52384911,4.118732535,3.93210543,3.651606618,4.170103269,4.193925086,7738_at
zinc finger protein 185 (LIM domain),4.548306779,3.611962447,4.079478096,4.023133445,3.455671184,3.606850978,5.569622281,3.478498012,4.481629005,3.675348898,4.233750271,3.623395591,3.388516186,3.880319171,3.865891242,7739_at
"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",5.094438049,5.13781279,4.971043568,4.623079063,4.914832693,5.06362522,5.101372049,5.103448149,5.255388633,4.940405447,4.650973019,4.551530211,5.381341207,4.874647462,4.495240203,773_at
zinc finger protein 187,4.486734999,4.625641131,4.486734999,4.446709661,4.242482197,4.437460004,4.486734999,4.589172945,3.933286165,4.637651145,4.735492841,4.926911871,4.629194725,4.720316863,4.125505211,7741_at
zinc finger protein 189,7.554901723,7.661474001,7.76423861,7.358855205,7.426788663,7.796861399,7.5810704,8.143510847,7.516342067,8.009695144,7.80132018,7.961751585,7.476794441,7.327502492,7.713740237,7743_at
zinc finger protein 192,1.393262433,1.323679296,1.677708473,1.376060959,1.579735858,1.39959536,1.252066295,0.969505297,1.376060959,1.704617865,1.079464625,1.027882903,1.519401458,1.258138168,1.524964491,7745_at
zinc finger protein 193,3.657257139,3.4845992,3.136318954,3.183207807,3.317044801,3.319566537,3.372496858,3.548887202,3.671451458,3.894634527,3.602347325,3.548514054,3.18552104,3.273278359,3.351545868,7746_at
zinc finger protein 195,4.918764742,5.313119164,5.094580584,4.485540149,4.6530977,4.628120434,5.041111763,5.056462627,4.874288735,4.440020084,5.098661368,4.317496362,3.076703935,4.890035118,4.686662428,7748_at
"calcium channel, voltage-dependent, N type, alpha 1B subunit",1.947783757,1.723807189,1.529278481,1.57073362,1.887557655,1.72953512,1.803823225,1.6181167,1.880297318,1.897346121,2.028379229,1.998735825,1.885370138,1.728644097,1.832953947,774_at
"zinc finger, MYM-type 2",5.726880252,5.796498737,5.70378163,5.322951031,5.53542776,5.916933725,5.058990745,5.953399067,5.573279135,5.961306553,5.372922557,5.851508831,5.203872138,5.373683071,5.58010716,7750_at
zinc finger protein 200,3.747928779,3.778521723,3.986982041,3.779249832,3.732126693,3.70599052,4.085929898,3.700038912,3.244802038,3.242610159,3.178978358,3.700080204,3.090889285,3.775667851,3.954000882,7752_at
zinc finger protein 202,2.979370405,2.450953751,2.933883933,2.965961537,3.17996943,2.904111263,2.864095225,3.019631001,2.502010206,2.685882288,2.759935981,2.341379032,2.820637422,2.80843346,3.116693618,7753_at
zinc finger protein 205,1.920348744,2.052581123,1.982922403,1.994870347,2.263693464,2.032596141,2.057000587,2.015488634,1.98071014,2.175920909,2.000012369,1.927062293,2.104734106,1.893926167,2.01444498,7755_at
zinc finger protein 207,9.312899395,9.134586457,9.167598043,9.031705177,9.122005967,9.071891813,9.280190002,9.091328723,9.706329759,8.815587527,9.041052473,9.091590416,9.047713859,9.123180514,9.157620691,7756_at
"calcium channel, voltage-dependent, L type, alpha 1C subunit",2.655777121,2.56983124,2.575903637,2.463172384,2.358222922,2.564621975,2.156642573,2.499103294,2.623172427,2.621670023,2.506397637,2.648678389,2.552334017,2.539923374,2.65139306,775_at
zinc finger protein 213,3.802306503,3.796243371,3.726732901,3.796243371,3.876228432,3.667038802,3.466487874,3.796579774,3.725786391,3.406561312,3.796243371,3.689863403,4.133888435,3.832959609,3.734300064,7760_at
zinc finger protein 214,2.441111583,2.658030731,2.377979981,2.292017947,2.329292709,2.635452915,2.486888336,2.567664619,2.303242561,2.746104658,2.363140851,3.225240101,2.740547856,2.252578698,2.268973261,7761_at
zinc finger protein 215,2.114707244,2.112522581,1.965660559,1.952542433,2.018733997,2.070718074,2.068816224,2.01598854,1.9056271,1.938343756,2.075956043,2.085045995,1.990063508,1.921201683,2.15894484,7762_at
zinc finger protein 217,7.619427433,7.901811742,7.389923808,7.559724138,7.218359106,7.566242291,8.729274485,7.389923808,7.105711598,6.371235251,7.74275967,7.019704994,6.308373385,7.760464878,7.320587645,7764_at
zinc finger protein 223,3.347423254,2.847634452,3.526887379,2.912817981,2.834537805,3.370369979,2.685717589,3.116749926,2.536306335,1.956304268,2.780833047,3.001466628,2.723179014,2.710974463,3.155049869,7766_at
zinc finger protein 225,3.024425667,2.974096857,3.061179024,2.746847726,2.950870185,3.046322368,3.150845826,3.163637952,2.773706861,2.588499456,3.073323408,3.017551823,2.245785771,2.747387634,3.051876507,7768_at
zinc finger protein 226,8.514657788,8.426551705,8.395996689,8.361345522,8.265086492,8.353975055,7.733910415,8.239376693,9.143774903,9.00920717,8.715389705,9.353469977,8.024804888,8.722016678,8.65862245,7769_at
zinc finger protein 227,4.925793694,5.036267873,5.289681287,4.734741428,5.1560521,5.113708222,4.941858554,5.192141248,4.351549045,4.378810364,4.872155173,4.61249104,4.204210651,4.933338768,4.965089901,7770_at
zinc finger protein 112 homolog (mouse),3.456920624,3.34060241,3.759088397,3.19809527,2.899950227,3.776228409,3.259957841,3.29088329,3.044925287,2.986251673,3.259957841,3.219145781,2.112202862,3.259957841,3.597616156,7771_at
zinc finger protein 229,1.970134079,1.981596405,1.998428859,2.021023593,2.003022436,1.894115851,1.993435251,1.994301702,2.174891329,1.942867181,1.830981465,2.062786076,2.388152443,1.984911248,1.912610614,7772_at
zinc finger protein 230,2.467641208,1.881980191,2.202733528,2.581397888,2.195628766,2.632463504,2.259916616,2.262097792,1.965827946,1.862478934,2.200332076,2.131747771,2.401702902,2.160117979,2.259916616,7773_at
zinc finger protein 232,5.550359654,3.611730183,4.05758919,4.206057935,4.270088326,4.086975886,3.78918073,4.132682622,4.299009705,4.644454411,4.057462428,4.610714808,4.693286313,3.863425629,4.329202607,7775_at
zinc finger protein 236,4.565436031,4.442391388,4.046312108,5.469752131,4.461144777,4.275762265,4.258315955,4.342793693,4.464272628,4.709081046,4.431258523,4.339487604,4.518649659,4.479721335,4.611584673,7776_at
"solute carrier family 30 (zinc transporter), member 1",5.702701359,5.389113043,5.541715595,4.848305647,4.783568473,5.505787802,4.729126005,4.925989402,4.684407359,4.397033437,5.041288302,4.603350209,4.421855993,5.309641276,4.842583314,7779_at
"calcium channel, voltage-dependent, R type, alpha 1E subunit",1.699710656,1.673731822,1.613926871,1.55527753,1.408909724,1.433768339,1.58366866,1.595738449,1.241189993,1.962245849,1.500391029,1.739679319,2.158432276,1.60218694,1.654568265,777_at
"solute carrier family 30 (zinc transporter), member 2",1.904086132,1.67394782,1.951208385,2.054099054,1.758305655,2.139064819,2.072165651,1.92163752,2.215031155,2.235625756,1.857048421,2.373044222,2.01868155,1.809291817,1.867936348,7780_at
"solute carrier family 30 (zinc transporter), member 4",1.880474884,2.067249508,2.416399698,2.15884151,2.180047886,2.20102033,1.712142483,1.902925246,1.83218462,2.000037648,2.000037648,2.099450171,2.07889098,1.852490655,2.118914674,7782_at
zona pellucida glycoprotein 2 (sperm receptor),2.345907387,1.742866623,2.061574105,2.121694798,2.198939628,2.073491072,1.810586976,1.888826897,2.137405216,1.888676896,1.916426011,1.922194716,2.218463364,1.77375019,1.735707071,7783_at
mitogen-activated protein kinase kinase kinase 12,3.341490768,3.322624891,3.381301896,3.269807304,3.489109555,3.322624891,3.322624891,3.370952363,3.322624891,3.354727262,3.160344762,2.950951987,3.793075142,3.322624891,3.190895267,7786_at
"zinc finger, X-linked, duplicated A",1.786932157,1.889431904,1.934726627,2.027876832,2.079817737,1.987795713,2.141395535,2.45165458,1.767696173,3.292394425,1.887550388,2.086881911,1.77155018,1.977926983,2.42945846,7789_at
"calcium channel, voltage-dependent, L type, alpha 1F subunit",1.320530484,1.478533324,1.540258141,1.430543177,1.182046555,1.548998952,1.863644895,1.618943934,1.693864942,1.134312891,1.548219519,1.758664469,1.540258141,1.780487874,1.611508282,778_at
zyxin,4.324498345,3.815328235,3.927716777,3.875716383,3.964191075,3.748281916,5.254761314,3.750591798,3.619667283,3.618413948,4.658303932,3.603231956,3.763895851,4.739122276,4.163609026,7791_at
leucine zipper protein 1,6.947548278,6.694820448,6.708578341,6.444403736,6.539203809,6.596967795,6.490899361,6.704157405,5.814482212,6.77648866,6.71388879,5.597635123,6.638250837,7.020231918,7.087202077,7798_at
"PR domain containing 2, with ZNF domain",4.169387995,4.556099844,3.870932183,4.498407276,4.531301621,4.468544216,4.217176044,5.440878429,3.523593158,3.462179977,4.097051739,3.336124602,4.730291845,4.230687314,4.303480419,7799_at
"calcium channel, voltage-dependent, L type, alpha 1S subunit",1.435221155,1.806720906,1.515747523,1.400444834,1.591644453,1.516607212,1.298939882,1.595326381,1.671605138,1.858188875,1.549620576,1.909281673,1.799069426,1.442407376,1.151568398,779_at
"dynein, axonemal, light intermediate chain 1",2.138423941,2.172414431,1.925857129,2.493082385,2.418198671,2.563581665,2.306692797,2.179240182,2.055002906,2.223535135,2.446826525,2.022691079,2.091438748,2.205814376,2.039561333,7802_at
"protein tyrosine phosphatase type IVA, member 1",7.292263435,7.271552711,7.252249827,6.937504652,7.028533244,7.207158544,6.813094044,7.048004479,7.356096539,6.411326516,7.30569162,6.581183936,7.162502339,7.171927827,7.111861545,7803_at
"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",2.549652856,2.594126354,2.49812067,2.494439251,1.924747337,2.826195663,2.746274717,2.505111853,2.185253712,2.958605412,2.553177908,2.126625889,2.476619102,2.529150836,2.598508693,7804_at
lysosomal protein transmembrane 5,10.11908351,9.703610168,9.684542396,9.918855944,9.064636566,9.355476237,11.07444614,9.23515561,10.88000793,9.312164794,10.17399651,10.31862351,9.106038891,10.2871994,9.475512748,7805_at
"family with sequence similarity 18, member A",1.589274403,1.612816815,1.360835836,1.744152576,1.612816815,1.612816815,1.496244726,1.763166,2.038392975,1.649110281,1.612816815,1.768279866,1.5586738,1.733267994,1.590317072,780776_at
"Bartter syndrome, infantile, with sensorineural deafness (Barttin)",1.895660026,2.078238536,1.691997,1.694231774,1.742299255,1.769516296,1.720131697,1.621909144,1.910421319,1.552431511,1.82671922,1.952297787,1.728390949,2.049240444,1.702881978,7809_at
discoidin domain receptor tyrosine kinase 1,3.987189877,4.430622109,4.865244112,4.708861573,5.189384446,5.095255245,4.479197062,4.817365705,4.733393743,4.865226335,4.732269336,4.779432807,4.700505231,4.652830968,4.697725014,780_at
"cold shock domain containing E1, RNA-binding",12.5435828,12.56279896,12.52197602,12.52067562,12.56362702,12.52067562,12.41443623,12.64509252,12.40604858,11.96420296,12.73106634,12.50184924,12.25128673,12.52067562,12.79055312,7812_at
ecotropic viral integration site 5,3.111449962,3.191041424,3.1915083,3.270187861,3.510327958,2.877516334,4.418076211,3.177298552,3.639974791,5.082507201,3.142183385,3.620486042,3.587569821,3.48596544,3.703631894,7813_at
death associated protein 3,9.983434357,9.67714247,9.875165875,9.919163808,9.816638608,9.846177856,9.755860816,9.951781928,10.15329598,10.20921663,9.835277024,10.47694047,10.05302903,9.7230445,9.759820567,7818_at
